SRR8367185	FCHC2V5BBXX_L2_wHAXPI032499-26.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL2-1\tSM:SRR8367185\tLB:Col24_RL2-1'
SRR8367185	FCH7NHMBBXX_L1_wHAXPI032499-26.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL2-1\tSM:SRR8367185\tLB:Col24_RL2-1'
SRR8367187	FCHC2V5BBXX_L2_wHAXPI032500-27.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL2-3\tSM:SRR8367187\tLB:Col24_RL2-3'
SRR8367187	FCH7NHMBBXX_L1_wHAXPI032500-27.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL2-3\tSM:SRR8367187\tLB:Col24_RL2-3'
SRR8367188	FCH7NHMBBXX_L1_wHAXPI032505-32.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL4-2\tSM:SRR8367188\tLB:Col24_RL4-2'
SRR8367188	FCHC2V5BBXX_L2_wHAXPI032505-32.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL4-2\tSM:SRR8367188\tLB:Col24_RL4-2'
SRR8367189	FCH7NHMBBXX_L1_wHAXPI032506-34.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col24_RL4-3\tSM:SRR8367189\tLB:Col24_RL4-3'
SRR8367189	FCHC2V5BBXX_L2_wHAXPI032506-34.bam	'@RG\tID:HC2V5BBXX.2\tPL:ILLUMINA\tPU:HC2V5BBXX.2.Col24_RL4-3\tSM:SRR8367189\tLB:Col24_RL4-3'
SRR8367190	FCH7NHMBBXX_L1_wHAXPI032567-19.bam	'@RG\tID:H7NHMBBXX.1\tPL:ILLUMINA\tPU:H7NHMBBXX.1.Col17_SL4-1\tSM:SRR8367190\tLB:Col17_SL4-1'
SRR8367190	FCHCFN7BBXX_L4_wHAXPI032567-19.bam	'@RG\tID:HCFN7BBXX.4\tPL:ILLUMINA\tPU:HCFN7BBXX.4.Col17_SL4-1\tSM:SRR8367190\tLB:Col17_SL4-1'
